"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 23:25:47 UTC 2023","Sun Dec 17 23:25:47 UTC 2023","175","","Updating the user settings","","","","""after each"" hook for Updating the user settings",""
"passed","Sun Dec 17 23:24:28 UTC 2023","Sun Dec 17 23:24:33 UTC 2023","4687","","The bank account","","","","deleting",""
"passed","Sun Dec 17 23:24:08 UTC 2023","Sun Dec 17 23:24:19 UTC 2023","11098","","The bank account","","","","creating with valid credentials",""
"passed","Sun Dec 17 23:24:35 UTC 2023","Sun Dec 17 23:24:40 UTC 2023","4886","","The bank account","","","","deleting",""
"passed","Sun Dec 17 23:25:32 UTC 2023","Sun Dec 17 23:25:36 UTC 2023","3404","","Sign up","","","","with valid credentials",""
"passed","Sun Dec 17 23:26:41 UTC 2023","Sun Dec 17 23:26:43 UTC 2023","1989","","Updating the user settings","","","","""after each"" hook for Updating the user settings",""
"passed","Sun Dec 17 23:25:01 UTC 2023","Sun Dec 17 23:25:13 UTC 2023","11986","","Sign up","","","","with invalid credentials",""
"passed","Sun Dec 17 23:24:39 UTC 2023","Sun Dec 17 23:24:41 UTC 2023","2572","","Creating the new transaction","","","","with invalid data",""
"passed","Sun Dec 17 23:24:35 UTC 2023","Sun Dec 17 23:24:37 UTC 2023","2637","","The bank account","","","","""before each"" hook for The bank account",""
"passed","Sun Dec 17 23:24:19 UTC 2023","Sun Dec 17 23:24:23 UTC 2023","4161","","The bank account","","","","creating with invalid credentials",""
"passed","Sun Dec 17 23:24:55 UTC 2023","Sun Dec 17 23:24:58 UTC 2023","2784","","Creating the new transaction","","","","with invalid data",""
"passed","Sun Dec 17 23:26:05 UTC 2023","Sun Dec 17 23:26:08 UTC 2023","2882","","View the transaction detail","","","","writing the valid comment",""
"passed","Sun Dec 17 23:24:47 UTC 2023","Sun Dec 17 23:24:53 UTC 2023","5635","","Creating the new transaction","","","","with valid data",""
"passed","Sun Dec 17 23:24:47 UTC 2023","Sun Dec 17 23:24:50 UTC 2023","2449","","Sign in","","","","with valid credentials",""
